Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     8191     0.00     0.00  std::remove_reference<std::_Tuple_impl<2ul, int>&>::type&& std::move<std::_Tuple_impl<2ul, int>&>(std::_Tuple_impl<2ul, int>&)
  0.00      0.00     0.00     8191     0.00     0.00  std::remove_reference<std::tuple<int, int, int>&>::type&& std::move<std::tuple<int, int, int>&>(std::tuple<int, int, int>&)
  0.00      0.00     0.00     8003     0.00     0.00  Graph::addEdge(int, int, int)
  0.00      0.00     0.00     7901     0.00     0.00  std::remove_reference<std::greater<void>&>::type&& std::move<std::greater<void>&>(std::greater<void>&)
  0.00      0.00     0.00     7016     0.00     0.00  std::vector<std::tuple<int, int, int>, std::allocator<std::tuple<int, int, int> > >::end()
  0.00      0.00     0.00     7002     0.00     0.00  bool __gnu_cxx::operator!=<std::tuple<int, int, int>*, std::vector<std::tuple<int, int, int>, std::allocator<std::tuple<int, int, int> > > >(__gnu_cxx::__normal_iterator<std::tuple<int, int, int>*, std::vector<std::tuple<int, int, int>, std::allocator<std::tuple<int, int, int> > > > const&, __gnu_cxx::__normal_iterator<std::tuple<int, int, int>*, std::vector<std::tuple<int, int, int>, std::allocator<std::tuple<int, int, int> > > > const&)
  0.00      0.00     0.00     7001     0.00     0.00  void __gnu_cxx::new_allocator<std::tuple<int, int, int> >::construct<std::tuple<int, int, int>, int&, int&, int&>(std::tuple<int, int, int>*, int&, int&, int&)
  0.00      0.00     0.00     7001     0.00     0.00  __gnu_cxx::__normal_iterator<std::tuple<int, int, int>*, std::vector<std::tuple<int, int, int>, std::allocator<std::tuple<int, int, int> > > >::operator++()
  0.00      0.00     0.00     7001     0.00     0.00  __gnu_cxx::__ops::__iter_less_iter()
  0.00      0.00     0.00     7001     0.00     0.00  __gnu_cxx::__normal_iterator<std::tuple<int, int, int>*, std::vector<std::tuple<int, int, int>, std::allocator<std::tuple<int, int, int> > > >::operator-(long) const
  0.00      0.00     0.00     7001     0.00     0.00  std::initializer_list<int>::end() const
  0.00      0.00     0.00     7001     0.00     0.00  std::initializer_list<int>::size() const
  0.00      0.00     0.00     7001     0.00     0.00  std::_Head_base<0ul, int, false>::_M_head(std::_Head_base<0ul, int, false> const&)
  0.00      0.00     0.00     7001     0.00     0.00  std::_Head_base<0ul, int, false>::_Head_base<int&>(int&)
  0.00      0.00     0.00     7001     0.00     0.00  std::_Head_base<1ul, int, false>::_M_head(std::_Head_base<1ul, int, false> const&)
  0.00      0.00     0.00     7001     0.00     0.00  std::_Head_base<1ul, int, false>::_Head_base<int&>(int&)
  0.00      0.00     0.00     7001     0.00     0.00  std::_Head_base<2ul, int, false>::_M_head(std::_Head_base<2ul, int, false> const&)
  0.00      0.00     0.00     7001     0.00     0.00  std::_Head_base<2ul, int, false>::_Head_base<int&>(int&)
  0.00      0.00     0.00     7001     0.00     0.00  std::_Tuple_impl<0ul, int, int, int>::_M_head(std::_Tuple_impl<0ul, int, int, int> const&)
  0.00      0.00     0.00     7001     0.00     0.00  std::_Tuple_impl<0ul, int, int, int>::_Tuple_impl<int&, int&, int&, void>(int&, int&, int&)
  0.00      0.00     0.00     7001     0.00     0.00  std::_Tuple_impl<1ul, int, int>::_M_head(std::_Tuple_impl<1ul, int, int> const&)
  0.00      0.00     0.00     7001     0.00     0.00  std::_Tuple_impl<1ul, int, int>::_Tuple_impl<int&, int&, void>(int&, int&)
  0.00      0.00     0.00     7001     0.00     0.00  std::_Tuple_impl<2ul, int>::_M_head(std::_Tuple_impl<2ul, int> const&)
  0.00      0.00     0.00     7001     0.00     0.00  std::_Tuple_impl<2ul, int>::_Tuple_impl<int&>(int&)
  0.00      0.00     0.00     7001     0.00     0.00  void std::allocator_traits<std::allocator<std::tuple<int, int, int> > >::construct<std::tuple<int, int, int>, int&, int&, int&>(std::allocator<std::tuple<int, int, int> >&, std::tuple<int, int, int>*, int&, int&, int&)
  0.00      0.00     0.00     7001     0.00     0.00  std::tuple<int, int, int>::tuple<int&, int&, int&, true>(int&, int&, int&)
  0.00      0.00     0.00     7001     0.00     0.00  std::tuple<int, int, int>& std::vector<std::tuple<int, int, int>, std::allocator<std::tuple<int, int, int> > >::emplace_back<int&, int&, int&>(int&, int&, int&)
  0.00      0.00     0.00     7001     0.00     0.00  std::vector<std::tuple<int, int, int>, std::allocator<std::tuple<int, int, int> > >::back()
  0.00      0.00     0.00     7001     0.00     0.00  int const* std::max_element<int const*>(int const*, int const*)
  0.00      0.00     0.00     7001     0.00     0.00  int const& std::__get_helper<0ul, int, int, int>(std::_Tuple_impl<0ul, int, int, int> const&)
  0.00      0.00     0.00     7001     0.00     0.00  int const& std::__get_helper<1ul, int, int>(std::_Tuple_impl<1ul, int, int> const&)
  0.00      0.00     0.00     7001     0.00     0.00  int const& std::__get_helper<2ul, int>(std::_Tuple_impl<2ul, int> const&)
  0.00      0.00     0.00     7001     0.00     0.00  int const* std::__max_element<int const*, __gnu_cxx::__ops::_Iter_less_iter>(int const*, int const*, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.00     0.00     7001     0.00     0.00  std::tuple_element<0ul, std::tuple<int, int, int> >::type const& std::get<0ul, int, int, int>(std::tuple<int, int, int> const&)
  0.00      0.00     0.00     7001     0.00     0.00  std::tuple_element<1ul, std::tuple<int, int, int> >::type const& std::get<1ul, int, int, int>(std::tuple<int, int, int> const&)
  0.00      0.00     0.00     7001     0.00     0.00  std::tuple_element<2ul, std::tuple<int, int, int> >::type const& std::get<2ul, int, int, int>(std::tuple<int, int, int> const&)
  0.00      0.00     0.00     7001     0.00     0.00  int std::max<int>(std::initializer_list<int>)
  0.00      0.00     0.00     6634     0.00     0.00  bool __gnu_cxx::operator==<std::pair<int, int> const*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >(__gnu_cxx::__normal_iterator<std::pair<int, int> const*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > > const&, __gnu_cxx::__normal_iterator<std::pair<int, int> const*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > > const&)
  0.00      0.00     0.00     6634     0.00     0.00  std::priority_queue<std::pair<int, int>, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >, std::greater<void> >::empty() const
  0.00      0.00     0.00     6634     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::end() const
  0.00      0.00     0.00     6634     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::empty() const
  0.00      0.00     0.00     6003     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >::duration<long, void>(long const&)
  0.00      0.00     0.00     6003     0.00     0.00  std::common_type<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::type std::chrono::operator-<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >(std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&, std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&)
  0.00      0.00     0.00     6003     0.00     0.00  std::common_type<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::type std::chrono::operator-<long, std::ratio<1l, 1000000000l>, long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&, std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00      0.00     0.00     6000     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000l> >::count() const
  0.00      0.00     0.00     6000     0.00     0.00  std::enable_if<std::chrono::__is_duration<std::chrono::duration<long, std::ratio<1l, 1000000l> > >::value, std::chrono::duration<long, std::ratio<1l, 1000000l> > >::type std::chrono::duration_cast<std::chrono::duration<long, std::ratio<1l, 1000000l> >, long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00      0.00     0.00     6000     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000l> > std::chrono::__duration_cast_impl<std::chrono::duration<long, std::ratio<1l, 1000000l> >, std::ratio<1l, 1000l>, long, true, false>::__cast<long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00      0.00     0.00     6000     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000l> >::duration<long, void>(long const&)
  0.00      0.00     0.00     5228     0.00     0.00  bool __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(std::pair<int, int> const&)#1}>::operator()<__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > > >(__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >)
  0.00      0.00     0.00     5228     0.00     0.00  Graph::removeEdge(int, int)::{lambda(std::pair<int, int> const&)#1}::operator()(std::pair<int, int> const&) const
  0.00      0.00     0.00     5012     0.00     0.00  decltype ((((forward<std::pair<int, int>&>)({parm#1}))>((forward<std::pair<int, int>&>)({parm#2})))) std::greater<void>::operator()<std::pair<int, int>&, std::pair<int, int>&>(std::pair<int, int>&, std::pair<int, int>&) const
  0.00      0.00     0.00     5012     0.00     0.00  decltype(auto) std::greater<void>::_S_cmp<std::pair<int, int>&, std::pair<int, int>&>(std::pair<int, int>&, std::pair<int, int>&, std::integral_constant<bool, false>)
  0.00      0.00     0.00     5012     0.00     0.00  bool std::operator><int, int>(std::pair<int, int> const&, std::pair<int, int> const&)
  0.00      0.00     0.00     5012     0.00     0.00  bool std::operator< <int, int>(std::pair<int, int> const&, std::pair<int, int> const&)
  0.00      0.00     0.00     5003     0.00     0.00  void std::_Destroy_aux<true>::__destroy<std::pair<int, int>*>(std::pair<int, int>*, std::pair<int, int>*)
  0.00      0.00     0.00     5003     0.00     0.00  void std::_Destroy<std::pair<int, int>*>(std::pair<int, int>*, std::pair<int, int>*)
  0.00      0.00     0.00     5003     0.00     0.00  void std::_Destroy<std::pair<int, int>*, std::pair<int, int> >(std::pair<int, int>*, std::pair<int, int>*, std::allocator<std::pair<int, int> >&)
  0.00      0.00     0.00     5000     0.00     0.00  __gnu_cxx::new_allocator<std::pair<int, int> >::new_allocator()
  0.00      0.00     0.00     5000     0.00     0.00  __gnu_cxx::new_allocator<std::pair<int, int> >::~new_allocator()
  0.00      0.00     0.00     5000     0.00     0.00  std::allocator<std::pair<int, int> >::allocator()
  0.00      0.00     0.00     5000     0.00     0.00  std::allocator<std::pair<int, int> >::~allocator()
  0.00      0.00     0.00     5000     0.00     0.00  std::_Vector_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_Vector_impl::_Vector_impl()
  0.00      0.00     0.00     5000     0.00     0.00  std::_Vector_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00     5000     0.00     0.00  std::_Vector_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.00     0.00     5000     0.00     0.00  std::_Vector_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_Vector_base()
  0.00      0.00     0.00     5000     0.00     0.00  std::_Vector_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::~_Vector_base()
  0.00      0.00     0.00     5000     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::vector()
  0.00      0.00     0.00     5000     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::~vector()
  0.00      0.00     0.00     4267     0.00     0.00  void std::__push_heap<__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >, long, std::pair<int, int>, __gnu_cxx::__ops::_Iter_comp_val<std::greater<void> > >(__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >, long, long, std::pair<int, int>, __gnu_cxx::__ops::_Iter_comp_val<std::greater<void> >&)
